2020-09-10 02:16:13,370 - 00_train.py - 00_train.py - 100 - INFO - TARGET MACHINE_TYPE: fan
2020-09-10 02:16:13,379 - 00_train.py - 00_train.py - 101 - INFO - MAKE DATA_LOADER
2020-09-10 02:17:39,201 - 00_train.py - 00_train.py - 108 - INFO - TRAINING
2020-09-10 02:18:20,157 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 1/100:train_score:46.032415, valid_score:10.536738
2020-09-10 02:18:58,520 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 2/100:train_score:10.091876, valid_score:9.816780
2020-09-10 02:19:36,977 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 3/100:train_score:9.646137, valid_score:9.582643
2020-09-10 02:20:15,174 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 4/100:train_score:9.501407, valid_score:9.432960
2020-09-10 02:20:53,438 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 5/100:train_score:9.419067, valid_score:9.475851
2020-09-10 02:21:31,277 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 6/100:train_score:9.366782, valid_score:9.243452
2020-09-10 02:22:10,113 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 7/100:train_score:9.324283, valid_score:9.205164
2020-09-10 02:22:51,667 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 8/100:train_score:9.293952, valid_score:9.466306
2020-09-10 02:23:30,531 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 9/100:train_score:9.265266, valid_score:9.136647
2020-09-10 02:24:09,690 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 10/100:train_score:9.246064, valid_score:10.267165
2020-09-10 02:24:48,550 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 11/100:train_score:9.231855, valid_score:9.790632
2020-09-10 02:25:27,874 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 12/100:train_score:9.218337, valid_score:9.163292
2020-09-10 02:26:07,098 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 13/100:train_score:9.204927, valid_score:9.076091
2020-09-10 02:26:47,270 - pytorch_modeler.py - pytorch_modeler.py - 181 - INFO - Epoch 14/100:train_score:9.192396, valid_score:9.077156
